,Batsman,Mode of Dismissal,Runs Scored,Balls Faced,Fours,Sixes,Strike Rate,Innings,Location,Date,Batting Position,Format,Year,Match,Series
0,Ed Cowan,c M Dhoni b R Ashwin,68,177,7,0,38.42,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
1,David Warner,c M Dhoni b U Yadav,37,49,4,1,75.51,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
2,Shaun Marsh,c V Kohli b U Yadav,0,6,0,0,0.00,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
3,Ricky Ponting,c V Laxman b U Yadav,62,94,6,0,65.96,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
4,Michael Clarke,b Z Khan,31,68,5,0,45.59,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
5,Michael Hussey,c M Dhoni b Z Khan,0,1,0,0,0.00,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
6,Brad Haddin,c V Sehwag b Z Khan,27,69,1,0,39.13,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
7,Peter Siddle,c M Dhoni b Z Khan,41,100,4,0,41.00,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
8,James Pattinson,not out,18,54,2,0,33.33,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
9,Ben Hilfenhaus,c V Kohli b R Ashwin,19,32,3,0,59.38,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
10,Nathan Lyon,b R Ashwin,6,11,1,0,54.55,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
11,Gautam Gambhir,c B Haddin b B Hilfenhaus,3,23,0,0,13.04,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
12,Virender Sehwag,b James Pattinson,67,83,7,0,80.72,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
13,Rahul Dravid,b B Hilfenhaus,68,187,6,0,36.36,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
14,Sachin Tendulkar,b P Siddle,73,98,8,1,74.49,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
15,Ishant Sharma,c B Haddin b B Hilfenhaus,11,69,0,0,15.94,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
16,VVS Laxman,c B Haddin b P Siddle,2,22,0,0,9.09,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
17,Virat Kohli,c B Haddin b B Hilfenhaus,11,21,1,0,52.38,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
18,MS Dhoni,c M Hussey b B Hilfenhaus,6,8,0,0,75.00,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
19,Ravichandran Ashwin,c B Haddin b P Siddle,31,35,3,1,88.57,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
20,Zaheer Khan,b James Pattinson,4,6,1,0,66.67,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
21,Umesh Yadav,not out,2,16,0,0,12.50,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
22,David Warner,b U Yadav,5,27,0,0,18.52,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
23,Ed Cowan,lbw b U Yadav,8,17,1,0,47.06,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
24,Shaun Marsh,b U Yadav,3,11,0,0,27.27,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
25,Ricky Ponting,c V Sehwag b Z Khan,60,97,3,0,61.86,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
26,Michael Clarke,b I Sharma,1,4,0,0,25.00,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
27,Michael Hussey,c M Dhoni b Z Khan,89,151,9,0,58.94,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
28,Brad Haddin,c V Laxman b Z Khan,6,14,0,0,42.86,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
29,Peter Siddle,c M Dhoni b U Yadav,4,22,0,0,18.18,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
30,Nathan Lyon,lbw b R Ashwin,0,11,0,0,0.00,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
31,James Pattinson,not out,37,81,4,0,45.68,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
32,Ben Hilfenhaus,c V Laxman b I Sharma,14,29,2,0,48.28,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
33,Gautam Gambhir,c R Ponting b P Siddle,13,46,1,0,28.26,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
34,Virender Sehwag,c M Hussey b B Hilfenhaus,7,12,1,0,58.33,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
35,Rahul Dravid,b James Pattinson,10,29,1,0,34.48,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
36,Sachin Tendulkar,c M Hussey b P Siddle,32,46,4,0,69.57,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
37,VVS Laxman,c E Cowan b James Pattinson,1,14,0,0,7.14,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
38,Virat Kohli,lbw b B Hilfenhaus,0,1,0,0,0.00,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
39,MS Dhoni,b James Pattinson,23,44,0,1,52.27,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
40,Ravichandran Ashwin,c E Cowan b P Siddle,30,35,5,0,85.71,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
41,Zaheer Khan,c E Cowan b James Pattinson,13,22,1,1,59.09,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
42,Ishant Sharma,not out,6,14,0,0,42.86,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
43,Umesh Yadav,c D Warner b N Lyon,21,25,2,1,84.00,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
44,Gautam Gambhir,c M Clarke b James Pattinson,0,3,0,0,0.00,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
45,Virender Sehwag,c B Haddin b James Pattinson,30,51,4,0,58.82,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
46,Rahul Dravid,c E Cowan b P Siddle,5,33,1,0,15.15,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
47,Sachin Tendulkar,b James Pattinson,41,89,8,0,46.07,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
48,VVS Laxman,c S Marsh b James Pattinson,2,9,0,0,22.22,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
49,Virat Kohli,c B Haddin b P Siddle,23,41,3,0,56.10,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
50,MS Dhoni,not out,57,77,8,0,74.03,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
51,Ravichandran Ashwin,c M Clarke b B Hilfenhaus,20,39,1,0,51.28,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
52,Zaheer Khan,c E Cowan b B Hilfenhaus,0,1,0,0,0.00,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
53,Ishant Sharma,c E Cowan b B Hilfenhaus,0,6,0,0,0.00,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
54,Umesh Yadav,c B Haddin b P Siddle,0,10,0,0,0.00,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
55,David Warner,c S Tendulkar b Z Khan,8,6,1,0,133.33,2,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
56,Ed Cowan,lbw b Z Khan,16,28,2,0,57.14,2,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
57,Shaun Marsh,c V Laxman b Z Khan,0,1,0,0,0.00,2,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
58,Ricky Ponting,c S Tendulkar b I Sharma,134,225,14,0,59.56,2,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
59,Michael Clarke,not out,329,468,39,1,70.30,2,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
60,Michael Hussey,not out,150,253,16,1,59.29,2,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
61,Gautam Gambhir,c D Warner b P Siddle,83,142,11,0,58.45,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
62,Virender Sehwag,c D Warner b B Hilfenhaus,4,8,1,0,50.00,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
63,Rahul Dravid,b B Hilfenhaus,29,73,6,0,39.73,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
64,Sachin Tendulkar,c M Hussey b M Clarke,80,141,9,0,56.74,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
65,VVS Laxman,b B Hilfenhaus,66,119,7,0,55.46,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
66,Virat Kohli,lbw b James Pattinson,9,24,2,0,37.50,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
67,MS Dhoni,c & b B Hilfenhaus,2,11,0,0,18.18,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
68,Ravichandran Ashwin,c N Lyon b B Hilfenhaus,62,76,9,1,81.58,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
69,Zaheer Khan,c S Marsh b P Siddle,35,26,5,1,134.62,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
70,Ishant Sharma,lbw b N Lyon,11,35,2,0,31.43,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
71,Umesh Yadav,not out,0,14,0,0,0.00,3,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
72,Gautam Gambhir,c B Haddin b B Hilfenhaus,31,82,3,0,37.80,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
73,Virender Sehwag,c R Ponting b B Hilfenhaus,0,4,0,0,0.00,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
74,Rahul Dravid,b P Siddle,9,35,1,0,25.71,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
75,Sachin Tendulkar,lbw b R Harris,15,25,3,0,60.00,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
76,VVS Laxman,c M Clarke b P Siddle,31,86,5,0,36.05,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
77,Virat Kohli,c D Warner b P Siddle,44,81,6,0,54.32,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
78,MS Dhoni,c R Ponting b B Hilfenhaus,12,22,2,0,54.55,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
79,Vinay Kumar,lbw b M Starc,5,4,1,0,125.00,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
80,Zaheer Khan,c M Clarke b B Hilfenhaus,2,11,0,0,18.18,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
81,Ishant Sharma,c B Haddin b M Starc,3,8,0,0,37.50,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
82,Umesh Yadav,not out,4,4,1,0,100.00,1,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
83,Ed Cowan,b U Yadav,74,120,10,0,61.67,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
84,David Warner,c U Yadav b I Sharma,180,159,20,5,113.21,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
85,Shaun Marsh,c V Laxman b U Yadav,11,19,2,0,57.89,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
86,Ricky Ponting,b U Yadav,7,6,1,0,116.67,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
87,Michael Clarke,c M Dhoni b Z Khan,18,38,3,0,47.37,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
88,Michael Hussey,c V Sehwag b V Kumar,14,29,2,0,48.28,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
89,Brad Haddin,c M Dhoni b Z Khan,0,3,0,0,0.00,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
90,Peter Siddle,b U Yadav,30,31,4,0,96.77,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
91,Ryan Harris,c G Gambhir b U Yadav,9,17,0,0,52.94,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
92,Mitchell Starc,not out,15,27,2,0,55.56,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
93,Ben Hilfenhaus,c V Kohli b V Sehwag,6,9,1,0,66.67,2,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
94,Gautam Gambhir,c M Hussey b M Starc,14,37,3,0,37.84,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
95,Virender Sehwag,c B Haddin b P Siddle,10,28,1,0,35.71,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
96,Rahul Dravid,b R Harris,47,114,8,0,41.23,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
97,Sachin Tendulkar,lbw b M Starc,8,16,1,0,50.00,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
98,VVS Laxman,c S Marsh b B Hilfenhaus,0,9,0,0,0.00,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
99,Virat Kohli,c B Haddin b P Siddle,75,136,9,0,55.15,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
100,MS Dhoni,c R Ponting b P Siddle,2,15,0,0,13.33,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
101,Vinay Kumar,c M Clarke b B Hilfenhaus,6,20,1,0,30.00,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
102,Zaheer Khan,c M Clarke b B Hilfenhaus,0,1,0,0,0.00,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
103,Ishant Sharma,c E Cowan b B Hilfenhaus,0,3,0,0,0.00,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
104,Umesh Yadav,not out,0,1,0,0,0.00,3,"W.A.C.A. Ground, Perth","Jan 13-Jan 17, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 3rd Test - Live Cricket Score, Commentary",India in Australia Test series 2011-12
